City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Oktyabrskiy,RU,2021-06-03 03:07:20,54.4815,53.471,51.39,78,95,10.89
220,Batagay,RU,2021-06-03 03:07:20,67.6333,134.6333,73.31,27,82,3.49
221,Mount Isa,AU,2021-06-03 03:07:21,-20.7333,139.5,71.37,43,78,11.5
222,La Ronge,CA,2021-06-03 03:07:22,55.1001,-105.2842,58.62,83,93,1.7
223,Purpe,RU,2021-06-03 03:07:22,64.4803,76.6897,42.73,53,100,13.42
224,Macau,MO,2021-06-03 03:07:23,22.2006,113.5461,92.71,84,40,8.05
225,Lorengau,PG,2021-06-03 03:07:23,-2.0226,147.2712,79.05,89,100,5.86
226,Hirara,JP,2021-06-03 03:07:24,24.8,125.2833,82.31,89,44,16.26
227,Guerrero Negro,MX,2021-06-03 03:07:25,27.9769,-114.0611,62.1,85,0,14.65
228,Coihaique,CL,2021-06-03 03:07:25,-45.5752,-72.0662,39.15,100,90,2.3
229,Fare,PF,2021-06-03 03:07:26,-16.7,-151.0167,80.6,79,34,14.45
230,Nucet,RO,2021-06-03 03:07:26,44.7833,25.55,55.42,72,100,6.29
231,Jiangyou,CN,2021-06-03 03:07:27,31.7667,104.7167,69.46,70,100,4.85
232,Sola,VU,2021-06-03 03:07:28,-13.8833,167.55,81.27,78,90,13.8
233,Bandarbeyla,SO,2021-06-03 03:07:28,9.4942,50.8122,78.62,81,100,13.69
234,Spearfish,US,2021-06-03 03:07:29,44.4908,-103.8594,69.21,50,1,10.36
235,Tanout,NE,2021-06-03 03:07:29,14.9709,8.8879,84.87,14,9,8.9
236,Richards Bay,ZA,2021-06-03 03:07:30,-28.783,32.0377,62.92,89,97,23.22
237,Saint-Georges,GD,2021-06-03 03:04:36,12.0564,-61.7485,78.55,73,98,11.68
238,Mulanje,MW,2021-06-03 03:07:31,-16.0316,35.5,65.05,81,78,3.0
239,Baiyin,CN,2021-06-03 03:07:32,36.5583,104.2081,65.28,13,86,2.73
240,Provideniya,RU,2021-06-03 03:07:32,64.3833,-173.3,32.11,86,75,15.66
241,Bathsheba,BB,2021-06-03 03:07:33,13.2167,-59.5167,79.41,65,40,16.6
242,Evensk,RU,2021-06-03 03:07:33,61.95,159.2333,47.77,63,2,13.4
243,Coquimbo,CL,2021-06-03 03:07:34,-29.9533,-71.3436,53.33,100,90,2.13
244,Iqaluit,CA,2021-06-03 03:04:20,63.7506,-68.5145,29.93,92,90,10.0
245,Muros,ES,2021-06-03 03:07:35,42.7762,-9.0603,57.83,93,24,8.05
246,Sao Joao Da Barra,BR,2021-06-03 03:05:08,-21.6403,-41.0511,71.64,89,0,8.08
247,Hovd,MN,2021-06-03 03:07:36,48.0056,91.6419,75.2,21,82,9.31
248,Mogadishu,SO,2021-06-03 03:06:54,2.0371,45.3438,78.03,85,72,15.55
249,Morehead,US,2021-06-03 03:07:37,37.2711,-87.1764,69.51,97,75,0.0
250,Raudeberg,NO,2021-06-03 03:07:38,61.9875,5.1352,57.87,74,61,4.56
251,Bandarban,BD,2021-06-03 03:07:39,22.1965,92.2262,89.31,49,16,2.13
252,Shahrud,IR,2021-06-03 03:07:39,36.4182,54.9763,83.37,10,0,2.21
253,Husavik,IS,2021-06-03 03:07:40,66.0449,-17.3389,43.43,78,7,2.71
254,Olafsvik,IS,2021-06-03 03:07:41,64.8945,-23.7142,44.24,82,16,6.93
255,Capoterra,IT,2021-06-03 03:07:42,39.1763,8.9718,67.41,75,0,4.23
256,Pingzhuang,CN,2021-06-03 03:07:43,42.0372,119.2889,67.89,23,72,20.07
257,Lompoc,US,2021-06-03 03:03:21,34.6391,-120.4579,66.34,86,90,9.22
258,Oranjemund,NA,2021-06-03 03:07:44,-28.55,16.4333,60.22,42,1,11.01
259,Sibut,CF,2021-06-03 03:07:44,5.718,19.0739,67.71,91,70,1.16
260,Khorramshahr,IR,2021-06-03 03:07:45,30.4397,48.1664,87.76,23,0,11.5
261,Torbay,CA,2021-06-03 03:05:28,47.6666,-52.7314,57.49,79,0,17.16
262,Lebu,CL,2021-06-03 03:07:47,-37.6167,-73.65,56.07,98,100,4.83
263,Bonthe,SL,2021-06-03 03:07:47,7.5264,-12.505,79.0,83,100,4.76
264,Jarwal,IN,2021-06-03 03:07:48,27.1667,81.55,94.17,31,0,5.1
265,Kashan,IR,2021-06-03 03:07:49,33.9831,51.4364,88.65,11,0,3.78
266,Vao,NC,2021-06-03 03:07:49,-22.6667,167.4833,71.02,65,9,10.49
267,Birao,CF,2021-06-03 03:07:50,10.2849,22.7882,77.36,62,99,3.29
268,Aginskoye,RU,2021-06-03 03:07:51,51.1,114.53,54.88,65,100,15.3
269,Pacific Grove,US,2021-06-03 03:05:45,36.6177,-121.9166,70.99,88,75,3.0
270,Shenxian,CN,2021-06-03 03:07:52,36.2411,115.6672,77.76,22,100,21.03
271,Chuy,UY,2021-06-03 03:07:52,-33.6971,-53.4616,46.29,86,3,6.26
272,Mansa,IN,2021-06-03 03:07:53,29.9833,75.3833,90.7,35,0,6.62
273,Matagami,CA,2021-06-03 03:07:54,49.7502,-77.6328,57.18,65,97,7.11
274,Myanaung,MM,2021-06-03 03:07:54,18.2833,95.3167,93.09,46,17,1.34
275,Todos Santos,MX,2021-06-03 03:07:55,23.45,-110.2167,84.79,67,23,5.32
276,Bodden Town,KY,2021-06-03 03:07:55,19.2833,-81.25,80.92,62,20,10.6
277,Oum Hadjer,TD,2021-06-03 03:07:56,13.2954,19.6966,86.22,39,97,8.14
278,Bonfim,BR,2021-06-03 03:07:57,3.0833,-59.95,76.77,88,96,3.13
279,Victoria,HK,2021-06-03 03:07:09,22.2855,114.1577,92.97,73,100,1.01
280,Burns Lake,CA,2021-06-03 03:07:58,54.2331,-125.7533,64.74,51,100,11.81
281,Cherskiy,RU,2021-06-03 03:07:58,68.75,161.3,64.54,24,86,14.47
282,Marfino,RU,2021-06-03 03:07:59,55.7028,37.3822,53.55,62,0,8.25
283,Lima,PE,2021-06-03 03:06:54,-12.0432,-77.0282,62.85,84,90,3.44
284,Dumas,US,2021-06-03 03:08:00,35.8656,-101.9732,69.22,63,1,6.91
